Şehir_Adı,Plaka_Kodu
<strong>ADANA</strong>,01
<strong>ADIYAMAN</strong>,02
<strong>AFYONKARAHİSAR</strong>,03
<strong>AĞRI</strong>,04
<strong>AMASYA</strong>,05
<strong>ANKARA</strong>,06
<strong>ANTALYA</strong>,07
<strong>ARTVİN</strong>,08
<strong>AYDIN</strong>,09
<strong>BALIKESİR</strong>,10
<strong>BİLECİK</strong>,11
<strong>BİNGÖL</strong>,12
<strong>BİTLİS</strong>,13
<strong>BOLU</strong>,14
<strong>BURDUR</strong>,15
<strong>BURSA</strong>,16
<strong>ÇANAKKALE</strong>,17
<strong>ÇANKIRI</strong>,18
<strong>ÇORUM</strong>,19
<strong>DENİZLİ</strong>,20
<strong>DİYARBAKIR</strong>,21
<strong>EDİRNE</strong>,22
<strong>ELAZIĞ</strong>,23
<strong>ERZİNCAN</strong>,24
<strong>ERZURUM</strong>,25
<strong>ESKİŞEHİR</strong>,26
<strong>GAZİANTEP</strong>,27
<strong>GİRESUN</strong>,28
<strong>GÜMÜŞHANE</strong>,29
<strong>HAKKARİ</strong>,30
<strong>HATAY</strong>,31
<strong>ISPARTA</strong>,32
<strong>MERSİN</strong>,33
<strong>İSTANBUL</strong>,34
<strong>İZMİR</strong>,35
<strong>KARS</strong>,36
<strong>KASTAMONU</strong>,37
<strong>KAYSERİ</strong>,38
<strong>KIRKLARELİ</strong>,39
<strong>KIRŞEHİR</strong>,40
<strong>KOCAELİ</strong>,41
<strong>KONYA</strong>,42
<strong>KÜTAHYA</strong>,43
<strong>MALATYA</strong>,44
<strong>MANİSA</strong>,45
<strong>KAHRAMANMARAŞ</strong>,46
<strong>MARDİN</strong>,47
<strong>MUĞLA</strong>,48
<strong>MUŞ</strong>,49
<strong>NEVŞEHİR</strong>,50
<strong>NİĞDE</strong>,51
<strong>ORDU</strong>,52
<strong>RİZE</strong>,53
<strong>SAKARYA</strong>,54
<strong>SAMSUN</strong>,55
<strong>SİİRT</strong>,56
<strong>SİNOP</strong>,57
<strong>SİVAS</strong>,58
<strong>TEKİRDAĞ</strong>,59
<strong>TOKAT</strong>,60
<strong>TRABZON</strong>,61
<strong>TUNCELİ</strong>,62
<strong>ŞANLIURFA</strong>,63
<strong>UŞAK</strong>,64
<strong>VAN</strong>,65
<strong>YOZGAT</strong>,66
<strong>ZONGULDAK</strong>,67
<strong>AKSARAY</strong>,68
<strong>BAYBURT</strong>,69
<strong>KARAMAN</strong>,70
<strong>KIRIKKALE</strong>,71
<strong>BATMAN</strong>,72
<strong>ŞIRNAK</strong>,73
<strong>BARTIN</strong>,74
<strong>ARDAHAN</strong>,75
<strong>IĞDIR</strong>,76
<strong>YALOVA</strong>,77
<strong>KARABÜK</strong>,78
<strong>KİLİS</strong>,79
<strong>OSMANİYE</strong>,80
<strong>DÜZCE</strong>,81
